section,title,punishment,cognizable,bailable,court
378,Theft,Up to 3 years imprisonment or fine or both,Cognizable,Non-Bailable,Magistrate First Class
379,Punishment for Theft,Up to 3 years imprisonment or fine or both,Cognizable,Non-Bailable,Magistrate First Class
382,Theft after preparation for causing hurt,Rigorous imprisonment up to 10 years + fine,Cognizable,Non-Bailable,Magistrate First Class
390,Robbery,Imprisonment up to 10 years + fine,Cognizable,Non-Bailable,Magistrate First Class
299,Culpable Homicide,Life imprisonment or up to 10 years,Cognizable,Non-Bailable,Session Court
300,Murder,Death penalty or life imprisonment,Cognizable,Non-Bailable,Session Court
302,Punishment for Murder,Death penalty or life imprisonment,Cognizable,Non-Bailable,Session Court
